GEOID,NAME,ADI,geometry
39035190504,"Census Tract 1905.04, Cuyahoga County, Ohio",75.5861484146428,"list(list(c(-81.970864, -81.970863, -81.970464, -81.96661, -81.96661, -81.96479, -81.964917, -81.960988, -81.963371, -81.963257, -81.963982, -81.963953, -81.962662, -81.946556, -81.945771, -81.944107, -81.944128, -81.943287, -81.94036, -81.934263, -81.934392, -81.92193, -81.920578, -81.920555, -81.92012, -81.919945, -81.90606, -81.90606, -81.91106, -81.90966, -81.914997, -81.915483, -81.921373, -81.922089, -81.922998, -81.923044, -81.935088, -81.937149, -81.971262, -81.970864, 41.375376, 41.375413, 
41.386748, 41.386691, 41.384557, 41.384469, 41.378009, 41.377938, 41.378619, 41.383342, 41.384429, 41.38564, 41.386632, 41.386545, 41.389137, 41.389456, 41.392075, 41.392097, 41.392348, 41.392374, 41.38316, 41.382406, 41.382269, 41.375223, 41.372684, 41.368524, 41.366611, 41.365749, 41.365249, 41.361449, 41.359503, 41.359771, 41.358767, 41.357337, 41.356379, 41.350877, 41.350973, 41.350992, 41.351268, 41.375376)))"
39035192800,"Census Tract 1928, Cuyahoga County, Ohio",65.18162501771434,"list(list(c(-81.6264560489102, -81.6100008285148, -81.609781748585, -81.599747, -81.5970329183256, -81.593214, -81.590624, -81.592967, -81.5915251146484, -81.589253, -81.586621, -81.585896, -81.585246, -81.585245, -81.588099, -81.588771, -81.591492, -81.591116, -81.602914, -81.615542, -81.62103, -81.626452, -81.626338, -81.6264560489102, 41.5445986788976, 41.5544871467365, 41.554618798868, 41.560649, 41.5630423605581, 41.56641, 41.568693, 41.571083, 41.5718101398908, 41.570152, 41.568155, 41.568691, 
41.567837, 41.566644, 41.566861, 41.563947, 41.561662, 41.555915, 41.550736, 41.545043, 41.542417, 41.539708, 41.540578, 41.5445986788976)))"
39035193900,"Census Tract 1939, Cuyahoga County, Ohio",119.53883208024558,"list(list(c(-81.536108, -81.533057, -81.533068, -81.533091, -81.533113, -81.533563, -81.531994, -81.516873, -81.517015, -81.516995, -81.503662, -81.502532, -81.497923, -81.491495, -81.492354, -81.493749, -81.494827, -81.496642, -81.497904, -81.498758, -81.507253, -81.507262, -81.517019, -81.517018, -81.522505, -81.522531, -81.526092, -81.526021, -81.527559, -81.530836, -81.536092, -81.536108, 41.449862, 41.44987, 41.450794, 41.454457, 41.45706, 41.463532, 41.464547, 41.464477, 41.457376, 41.450921, 
41.449766, 41.449663, 41.449757, 41.449714, 41.446814, 41.443571, 41.442621, 41.440271, 41.439776, 41.439163, 41.439185, 41.441157, 41.441147, 41.442673, 41.442602, 41.443771, 41.443798, 41.442589, 41.442186, 41.444769, 41.444723, 41.449862)))"
39035194100,"Census Tract 1941, Cuyahoga County, Ohio",81.32611116958235,"list(list(c(-81.584745, -81.575014, -81.57277, -81.572701, -81.565585, -81.565901, -81.568117, -81.569722, -81.57064, -81.567712, -81.567632, -81.56589, -81.563973, -81.560894, -81.559181, -81.556217, -81.553091, -81.554745, -81.552436, -81.549527, -81.547028, -81.546825, -81.541425, -81.539299, -81.536722, -81.5365, -81.536609, -81.526481, -81.526622, -81.518706, -81.517658, -81.51864, -81.526619, -81.536216, -81.561609, -81.585249, -81.584745, 41.384553, 41.384613, 41.385613, 41.387467, 41.387459, 
41.384966, 41.384665, 41.383474, 41.379389, 41.378845, 41.377944, 41.3796, 41.379413, 41.380739, 41.378944, 41.3785, 41.379509, 41.382856, 41.384129, 41.383256, 41.385834, 41.387393, 41.3874, 41.385038, 41.384509, 41.378474, 41.372839, 41.37277, 41.369849, 41.35334, 41.350154, 41.350154, 41.350484, 41.35062, 41.350842, 41.351088, 41.384553)))"
39035152701,"Census Tract 1527.01, Cuyahoga County, Ohio",129.151406795253,"list(list(c(-81.552776, -81.540921, -81.538485, -81.536017, -81.533754, -81.535167, -81.537014, -81.540744, -81.547793, -81.552096, -81.553655, -81.552776, 41.56221, 41.569754, 41.571314, 41.572854, 41.569541, 41.568986, 41.567278, 41.563969, 41.558553, 41.561449, 41.561669, 41.56221)))"
39035160800,"Census Tract 1608, Cuyahoga County, Ohio",95.80156471457063,"list(list(c(-81.829414, -81.827058, -81.828435, -81.823928, -81.819503, -81.819603, -81.821361, -81.822485, -81.821904, -81.827639, -81.829414, 41.477167, 41.479447, 41.4806, 41.483951, 41.484845, 41.479958, 41.479783, 41.47965, 41.477136, 41.477708, 41.477167)))"
39035173103,"Census Tract 1731.03, Cuyahoga County, Ohio",89.56016931325156,"list(list(c(-81.804879, -81.802825, -81.80222, -81.800519, -81.794953, -81.784559, -81.784654, -81.784713, -81.784864, -81.78492, -81.794425, -81.795796, -81.796978, -81.804057, -81.794851, -81.792037, -81.804877, -81.804879, 41.386401, 41.386604, 41.387871, 41.388152, 41.388192, 41.387545, 41.383774, 41.380491, 41.370981, 41.363755, 41.363465, 41.36367, 41.363987, 41.368352, 41.37631, 41.377499, 41.385804, 41.386401)))"
39035173106,"Census Tract 1731.06, Cuyahoga County, Ohio",88.60250515331666,"list(list(c(-81.818178, -81.812512, -81.804057, -81.796978, -81.795796, -81.796197, -81.798054, -81.801262, -81.801326, -81.800904, -81.817859, -81.819, -81.818178, 41.356806, 41.361486, 41.368352, 41.363987, 41.36367, 41.359156, 41.359378, 41.354658, 41.35168, 41.350746, 41.350719, 41.355692, 41.356806)))"
39035173107,"Census Tract 1731.07, Cuyahoga County, Ohio",84.92769656632811,"list(list(c(-81.855674, -81.852904, -81.848439, -81.847492, -81.844718, -81.842127, -81.841371, -81.838445, -81.838655, -81.837458, -81.838258, -81.837357, -81.839778, -81.840301, -81.820826, -81.815668, -81.80937, -81.807879, -81.804057, -81.812512, -81.818178, -81.819, -81.817859, -81.820826, -81.843766, -81.845657, -81.848557, -81.849661, -81.855271, -81.855674, 41.354077, 41.355351, 41.355364, 41.357807, 41.359743, 41.359144, 41.360919, 41.361003, 41.364152, 41.364051, 41.364751, 41.36785, 41.369212, 
41.37233, 41.371818, 41.371776, 41.371519, 41.370809, 41.368352, 41.361486, 41.356806, 41.355692, 41.350719, 41.350719, 41.350615, 41.35075, 41.35045, 41.351556, 41.352572, 41.354077)))"
39035102700,"Census Tract 1027, Cuyahoga County, Ohio",134.86061971103416,"list(list(c(-81.738387, -81.738021, -81.736237, -81.735739, -81.731751, -81.730145, -81.722268, -81.716477, -81.716494, -81.718288, -81.720001, -81.720009, -81.720009, -81.720021, -81.720049, -81.720316, -81.721186, -81.72234, -81.724923, -81.725932, -81.727675, -81.728826, -81.730159, -81.731669, -81.734553, -81.738117, -81.738583, -81.738387, 41.463547, 41.464627, 41.469581, 41.470999, 41.471883, 41.472412, 41.475036, 41.475279, 41.469664, 41.469655, 41.46965, 41.467519, 41.467263, 41.464118, 41.462406, 
41.462406, 41.462396, 41.462387, 41.462366, 41.462364, 41.462359, 41.462335, 41.462313, 41.459574, 41.461029, 41.46235, 41.462525, 41.463547)))"
